load	#links_mpi  #links_optiq
1	    377		256
2	    66		128
3	    48		0
4	    36		64
5	    22		0
6	    8		0
7	    19		0
8	    11		32
9	    8		0
10	    12		0
11	    13		0
12	    13		0
13	    2		0
14	    2		0
15	    3		0
16	    0		16
18	    0		0
19          0           0
20          0           0
21          0           0
22          0           0
23          0           0
24          0           0
25          0           0
26          0           0
27          0           0
28          0           0
29          0           0
30          0           0
31          0           0
32	    0		8
