testid msgsize chunksize datasize time bandwidth numpaths/job maxpath/job minpath/job avgpath/job medpath/job totalhopbytes maxhopbytes minhopbytes avghopbytes medhopbytes totalcopies maxcopies/path mincopies/paths avgcopies/paths medcopies/path totalhops maxhops/path minhop/path avghops/path medhop/path totalcopies/node maxopies/node mincopies/node avgcopies/node medcopies/node maxloadpath minloadpath avgloadpath medloadpath maxloadlink minloadlink avgloadlink medloadlink totalrput maxrputs minrput avgrput medrput
0 8388608 65536 2048 5857 349667 9877 47 5 38.58 40 8349251934 6710884 356962 845322.66 838860 93970 78 3 9.51 9 38580 6 2 3.91 4 93970 152 3 31.14 12 16 1 3.63 2 6815744 131072 781658.34 458752 126738 204 3 41.99 12
1 8388608 65536 4096 68226 60035 5695 35 1 11.12 10 38851900109 125829120 599186 6822107.13 4194302 527216 1792 5 92.58 56 44552 16 2 7.82 7 527241 1699 4 272.34 208 16 1 6.36 5 40828928 196608 5547136.24 3735552 592752 1955 4 306.33 218
2 8388608 65536 8192 74569 109857 6671 29 1 6.51 5 74102985777 134217728 335544 11108227.52 5392674 999602 1920 6 149.84 72 49848 16 1 7.47 7 999627 2599 6 514.48 321 16 1 6.60 5 61538304 262144 9804161.32 6684672 1130674 3111 6 582.22 327
3 8388608 65536 16384 148716 110169 8815 25 1 4.30 2 155797544107 134217728 559240 17674140.00 7743324 2115068 1920 6 239.94 105 72613 17 1 8.24 8 2115068 4507 7 568.57 329 16 1 5.42 3 120193024 327680 11628944.21 7274496 2377212 5531 7 639.04 329
4 8388608 65536 4096 38202 107219 7088 38 1 13.84 14 38894224759 100663296 479348 5487334.19 3947576 527898 1408 4 74.48 54 58192 16 2 8.21 8 527923 1027 3 268.12 235 16 1 7.08 6 31719424 196608 4730149.67 3604480 593459 1135 3 298.22 266
5 8388608 65536 4096 4772 858340 16790 43 20 32.79 33 19882429748 2097150 585249 1184182.83 1233615 235528 28 6 14.03 16 77806 5 3 4.63 5 235553 159 3 62.46 59 16 1 4.72 3 5177344 131072 1196877.79 720896 301064 244 3 79.86 86
6 8388608 65536 8192 51842 158018 9980 35 1 9.75 9 74065957375 117440512 239674 7421438.61 4893350 998984 1664 5 100.10 64 76586 16 1 7.67 7 999009 1570 3 445.99 401 16 1 7.13 6 40828928 196608 6890523.82 4915200 1130056 1751 3 504.71 458
7 8388608 65536 16384 67990 240976 15160 26 1 7.40 6 156015533407 134217728 364722 10291262.10 6151640 2118380 1920 5 139.73 81 125662 17 1 8.29 8 2118380 3156 6 548.52 460 16 1 6.91 5 56426496 327680 8583770.06 6291456 2380524 3156 6 615.60 509
8 8388608 65536 8192 45432 180313 8904 28 1 8.70 8 74386130129 109051904 599186 8354237.44 5592400 1003946 1536 5 112.75 72 72710 16 2 8.17 8 1003971 2325 4 456.14 341 16 1 7.49 6 55967744 262144 7660611.70 5898240 1135018 2453 4 508.29 403
9 8388608 65536 8192 57494 142484 10636 34 1 10.39 10 74261404750 109051904 299593 6982080.18 4441023 1001976 1536 5 94.21 60 83957 16 1 7.89 7 1002001 2180 4 431.52 340 16 1 7.41 6 53608448 196608 6555613.47 4653056 1133048 2180 4 484.42 395
