testid msgsize chunksize datasize time bandwidth numpaths/job maxpath/job minpath/job avgpath/job medpath/job totalhopbytes maxhopbytes minhopbytes avghopbytes medhopbytes totalcopies maxcopies/path mincopies/paths avgcopies/paths medcopies/path totalhops maxhops/path minhop/path avghops/path medhop/path totalcopies/node maxopies/node mincopies/node avgcopies/node medcopies/node maxloadpath minloadpath avgloadpath medloadpath maxloadlink minloadlink avgloadlink medloadlink totalrput maxrputs minrput avgrput medrput
0 8388608 65536 2048 3826 535242 256 1 1 1.00 1 4294967296 16777216 16777216 16777216.00 16777216 0 0 0 0.00 0 512 2 2 2.00 2 0 0 0 0.00 0 1 1 1.00 1 8388608 8388608 8388608.00 8388608 0 0 0 0.00 0
1 8388608 65536 4096 63973 64026 512 1 1 1.00 1 38654705664 134217728 16777216 75497472.00 75497472 0 0 0 0.00 0 4608 16 2 9.00 9 0 0 0 0.00 0 8 1 3.20 2 67108864 8388608 26843545.60 16777216 0 0 0 0.00 0
2 8388608 65536 8192 120254 68122 1024 1 1 1.00 1 73014444032 134217728 8388608 71303168.00 67108864 0 0 0 0.00 0 8704 16 1 8.50 8 0 0 0 0.00 0 12 1 4.86 4 100663296 8388608 40744667.43 33554432 0 0 0 0.00 0
3 8388608 65536 16384 271846 60269 2048 1 1 1.00 1 154618822656 142606336 8388608 75497472.00 75497472 0 0 0 0.00 0 18432 17 1 9.00 9 0 0 0 0.00 0 28 1 6.26 2 234881024 8388608 52519980.52 16777216 0 0 0 0.00 0
4 8388608 65536 4096 49992 81932 512 1 1 1.00 1 38654705664 134217728 16777216 75497472.00 75497472 0 0 0 0.00 0 4608 16 2 9.00 9 0 0 0 0.00 0 8 1 2.42 2 67108864 8388608 20301841.21 16777216 0 0 0 0.00 0
5 8388608 65536 4096 3881 1055262 512 1 1 1.00 1 12884901888 25165824 25165824 25165824.00 25165824 0 0 0 0.00 0 1536 3 3 3.00 3 0 0 0 0.00 0 1 1 1.00 1 8388608 8388608 8388608.00 8388608 0 0 0 0.00 0
6 8388608 65536 8192 67225 121859 1024 1 1 1.00 1 73014444032 134217728 8388608 71303168.00 75497472 0 0 0 0.00 0 8704 16 1 8.50 9 0 0 0 0.00 0 8 1 3.32 2 67108864 8388608 27825626.54 16777216 0 0 0 0.00 0
7 8388608 65536 16384 119390 137230 2048 1 1 1.00 1 154618822656 142606336 8388608 75497472.00 75497472 0 0 0 0.00 0 18432 17 1 9.00 9 0 0 0 0.00 0 12 1 4.97 4 100663296 8388608 41653777.66 33554432 0 0 0 0.00 0
8 8388608 65536 8192 46282 176999 1024 1 1 1.00 1 73014444032 134217728 8388608 71303168.00 67108864 0 0 0 0.00 0 8704 16 1 8.50 8 0 0 0 0.00 0 8 1 3.68 4 67108864 8388608 30833802.38 33554432 0 0 0 0.00 0
9 8388608 65536 8192 49899 164168 1024 1 1 1.00 1 73014444032 134217728 8388608 71303168.00 75497472 0 0 0 0.00 0 8704 16 1 8.50 9 0 0 0 0.00 0 8 1 2.45 2 67108864 8388608 20555868.25 16777216 0 0 0 0.00 0
10 8388608 65536 8192 5208 1572904 1024 1 1 1.00 1 8589934592 8388608 8388608 8388608.00 8388608 0 0 0 0.00 0 1024 1 1 1.00 1 0 0 0 0.00 0 1 1 1.00 1 8388608 8388608 8388608.00 8388608 0 0 0 0.00 0
16 8388608 65536 2048 5179 395412 256 1 1 1.00 1 4026531840 16777216 8388608 15728640.00 16777216 0 0 0 0.00 0 480 2 1 1.88 2 0 0 0 0.00 0 1 1 1.00 1 8388608 8388608 8388608.00 8388608 0 0 0 0.00 0
17 8388608 65536 2048 9864 207613 256 1 1 1.00 1 5905580032 25165824 16777216 23068672.00 25165824 0 0 0 0.00 0 704 3 2 2.75 3 0 0 0 0.00 0 2 1 1.57 2 16777216 8388608 13182098.29 16777216 0 0 0 0.00 0
18 8388608 65536 2048 9858 207733 256 1 1 1.00 1 9663676416 41943040 33554432 37748736.00 41943040 0 0 0 0.00 0 1152 5 4 4.50 5 0 0 0 0.00 0 3 1 1.80 2 25165824 8388608 15099494.40 16777216 0 0 0 0.00 0
19 8388608 65536 4096 62070 65989 512 1 1 1.00 1 33822867456 125829120 8388608 66060288.00 67108864 0 0 0 0.00 0 4032 15 1 7.88 8 0 0 0 0.00 0 8 1 3.36 2 67108864 8388608 28185722.88 16777216 0 0 0 0.00 0
20 8388608 65536 4096 69427 58996 512 1 1 1.00 1 33285996544 125829120 8388608 65011712.00 67108864 0 0 0 0.00 0 3968 15 1 7.75 8 0 0 0 0.00 0 8 1 3.44 4 67108864 8388608 28894094.22 33554432 0 0 0 0.00 0
21 8388608 65536 4096 69339 59071 512 1 1 1.00 1 32212254720 125829120 8388608 62914560.00 67108864 0 0 0 0.00 0 3840 15 1 7.50 8 0 0 0 0.00 0 8 1 3.43 2 67108864 8388608 28760941.71 16777216 0 0 0 0.00 0
22 8388608 65536 8192 114645 71455 1024 1 1 1.00 1 66303557632 117440512 8388608 64749568.00 67108864 0 0 0 0.00 0 7904 14 1 7.72 8 0 0 0 0.00 0 12 1 4.45 4 100663296 8388608 37333084.25 33554432 0 0 0 0.00 0
23 8388608 65536 8192 120143 68184 1024 1 1 1.00 1 66035122176 117440512 8388608 64487424.00 67108864 0 0 0 0.00 0 7872 14 1 7.69 8 0 0 0 0.00 0 12 1 4.47 4 100663296 8388608 37519955.78 33554432 0 0 0 0.00 0
24 8388608 65536 8192 117560 69683 1024 1 1 1.00 1 65498251264 117440512 8388608 63963136.00 67108864 0 0 0 0.00 0 7808 14 1 7.62 8 0 0 0 0.00 0 12 1 4.52 4 100663296 8388608 37904080.59 33554432 0 0 0 0.00 0
25 8388608 65536 16384 264943 61839 2048 1 1 1.00 1 141197049856 134217728 8388608 68943872.00 67108864 0 0 0 0.00 0 16832 16 1 8.22 8 0 0 0 0.00 0 28 1 6.01 2 234881024 8388608 50427517.81 16777216 0 0 0 0.00 0
26 8388608 65536 16384 268798 60952 2048 1 1 1.00 1 140660178944 134217728 8388608 68681728.00 67108864 0 0 0 0.00 0 16768 16 1 8.19 8 0 0 0 0.00 0 28 1 6.02 2 234881024 8388608 50524489.56 16777216 0 0 0 0.00 0
27 8388608 65536 16384 263129 62265 2048 1 1 1.00 1 139586437120 134217728 8388608 68157440.00 67108864 0 0 0 0.00 0 16640 16 1 8.12 8 0 0 0 0.00 0 28 1 6.05 2 234881024 8388608 50721815.81 16777216 0 0 0 0.00 0
28 8388608 65536 4096 49673 82458 512 1 1 1.00 1 33285996544 125829120 8388608 65011712.00 67108864 0 0 0 0.00 0 3968 15 1 7.75 8 0 0 0 0.00 0 8 1 2.51 2 67108864 8388608 21013886.71 16777216 0 0 0 0.00 0
29 8388608 65536 4096 49644 82507 512 1 1 1.00 1 32212254720 117440512 8388608 62914560.00 67108864 0 0 0 0.00 0 3840 14 1 7.50 8 0 0 0 0.00 0 8 1 2.53 2 67108864 8388608 21192272.84 16777216 0 0 0 0.00 0
30 8388608 65536 4096 49708 82400 512 1 1 1.00 1 30064771072 117440512 8388608 58720256.00 58720256 0 0 0 0.00 0 3584 14 1 7.00 7 0 0 0 0.00 0 8 1 2.57 2 67108864 8388608 21598255.08 16777216 0 0 0 0.00 0
31 8388608 65536 4096 9864 415226 512 1 1 1.00 1 16106127360 33554432 25165824 31457280.00 33554432 0 0 0 0.00 0 1920 4 3 3.75 4 0 0 0 0.00 0 2 1 1.36 1 16777216 8388608 11439010.91 8388608 0 0 0 0.00 0
32 8388608 65536 4096 9862 415323 512 1 1 1.00 1 23622320128 50331648 41943040 46137344.00 50331648 0 0 0 0.00 0 2816 6 5 5.50 6 0 0 0 0.00 0 3 1 1.57 1 25165824 8388608 13182098.29 8388608 0 0 0 0.00 0
33 8388608 65536 4096 5206 786769 512 1 1 1.00 1 4294967296 8388608 8388608 8388608.00 8388608 0 0 0 0.00 0 512 1 1 1.00 1 0 0 0 0.00 0 1 1 1.00 1 8388608 8388608 8388608.00 8388608 0 0 0 0.00 0
34 8388608 65536 8192 71012 115360 1024 1 1 1.00 1 69256347648 117440512 16777216 67633152.00 67108864 0 0 0 0.00 0 8256 14 2 8.06 8 0 0 0 0.00 0 8 1 3.27 2 67108864 8388608 27395707.14 16777216 0 0 0 0.00 0
35 8388608 65536 8192 63672 128657 1024 1 1 1.00 1 69793218560 125829120 16777216 68157440.00 67108864 0 0 0 0.00 0 8320 15 2 8.12 8 0 0 0 0.00 0 8 1 3.25 2 67108864 8388608 27262976.00 16777216 0 0 0 0.00 0
36 8388608 65536 8192 70730 115819 1024 1 1 1.00 1 70866960384 125829120 8388608 69206016.00 67108864 0 0 0 0.00 0 8448 15 1 8.25 8 0 0 0 0.00 0 8 1 3.22 2 67108864 8388608 27007225.76 16777216 0 0 0 0.00 0
41 8388608 65536 8192 46588 175838 1024 1 1 1.00 1 64424509440 125829120 8388608 62914560.00 58720256 0 0 0 0.00 0 7680 15 1 7.50 7 0 0 0 0.00 0 8 1 3.64 4 67108864 8388608 30504029.09 33554432 0 0 0 0.00 0
42 8388608 65536 8192 46455 176342 1024 1 1 1.00 1 64424509440 125829120 8388608 62914560.00 67108864 0 0 0 0.00 0 7680 15 1 7.50 8 0 0 0 0.00 0 8 1 3.64 4 67108864 8388608 30504029.09 33554432 0 0 0 0.00 0
43 8388608 65536 8192 49961 163966 1024 1 1 1.00 1 75161927680 134217728 8388608 73400320.00 75497472 0 0 0 0.00 0 8960 16 1 8.75 9 0 0 0 0.00 0 8 1 2.43 2 67108864 8388608 20424436.87 16777216 0 0 0 0.00 0
44 8388608 65536 8192 49959 163972 1024 1 1 1.00 1 73014444032 134217728 8388608 71303168.00 75497472 0 0 0 0.00 0 8704 16 1 8.50 9 0 0 0 0.00 0 8 1 2.45 2 67108864 8388608 20555868.25 16777216 0 0 0 0.00 0
45 8388608 65536 8192 49848 164336 1024 1 1 1.00 1 64424509440 125829120 8388608 62914560.00 67108864 0 0 0 0.00 0 7680 15 1 7.50 8 0 0 0 0.00 0 8 1 2.53 2 67108864 8388608 21192272.84 16777216 0 0 0 0.00 0
46 8388608 65536 8192 9864 830494 1024 1 1 1.00 1 46170898432 50331648 41943040 45088768.00 41943040 0 0 0 0.00 0 5504 6 5 5.38 5 0 0 0 0.00 0 3 1 1.59 1 25165824 8388608 13359634.96 8388608 0 0 0 0.00 0
47 8388608 65536 8192 5183 1580307 1024 1 1 1.00 1 15032385536 16777216 8388608 14680064.00 16777216 0 0 0 0.00 0 1792 2 1 1.75 2 0 0 0 0.00 0 1 1 1.00 1 8388608 8388608 8388608.00 8388608 0 0 0 0.00 0
48 8388608 65536 8192 5183 1580368 1024 1 1 1.00 1 21474836480 25165824 16777216 20971520.00 25165824 0 0 0 0.00 0 2560 3 2 2.50 3 0 0 0 0.00 0 1 1 1.00 1 8388608 8388608 8388608.00 8388608 0 0 0 0.00 0
49 8388608 65536 16384 66632 245886 2048 1 1 1.00 1 152471339008 142606336 8388608 74448896.00 75497472 0 0 0 0.00 0 18176 17 1 8.88 9 0 0 0 0.00 0 8 1 3.34 2 67108864 8388608 28027819.67 16777216 0 0 0 0.00 0
50 8388608 65536 16384 64840 252681 2048 1 1 1.00 1 150323855360 142606336 8388608 73400320.00 75497472 0 0 0 0.00 0 17920 17 1 8.75 9 0 0 0 0.00 0 8 1 3.26 2 67108864 8388608 27311746.98 16777216 0 0 0 0.00 0
51 8388608 65536 16384 70862 231209 2048 1 1 1.00 1 146028888064 142606336 8388608 71303168.00 67108864 0 0 0 0.00 0 17408 17 1 8.50 8 0 0 0 0.00 0 8 1 3.40 4 67108864 8388608 28521267.20 33554432 0 0 0 0.00 0
52 8388608 65536 16384 54757 299209 2048 1 1 1.00 1 137438953472 134217728 8388608 67108864.00 67108864 0 0 0 0.00 0 16384 16 1 8.00 8 0 0 0 0.00 0 8 1 5.15 5 67108864 8388608 43165500.46 41943040 0 0 0 0.00 0
53 8388608 65536 16384 55141 297125 2048 1 1 1.00 1 137438953472 134217728 8388608 67108864.00 67108864 0 0 0 0.00 0 16384 16 1 8.00 8 0 0 0 0.00 0 8 1 5.15 5 67108864 8388608 43165500.46 41943040 0 0 0 0.00 0
54 8388608 65536 16384 55024 297757 2048 1 1 1.00 1 137438953472 134217728 8388608 67108864.00 67108864 0 0 0 0.00 0 16384 16 1 8.00 8 0 0 0 0.00 0 8 1 5.15 5 67108864 8388608 43165500.46 41943040 0 0 0 0.00 0
56 8388608 65536 16384 51139 320380 2048 1 1 1.00 1 137438953472 134217728 8388608 67108864.00 67108864 0 0 0 0.00 0 16384 16 1 8.00 8 0 0 0 0.00 0 8 1 3.66 4 67108864 8388608 30678337.83 33554432 0 0 0 0.00 0
57 8388608 65536 16384 50956 321527 2048 1 1 1.00 1 137438953472 134217728 8388608 67108864.00 67108864 0 0 0 0.00 0 16384 16 1 8.00 8 0 0 0 0.00 0 8 1 3.76 4 67108864 8388608 31580641.88 33554432 0 0 0 0.00 0
58 8388608 65536 16384 49957 327961 2048 1 1 1.00 1 150323855360 142606336 8388608 73400320.00 75497472 0 0 0 0.00 0 17920 17 1 8.75 9 0 0 0 0.00 0 8 1 2.52 2 67108864 8388608 21160452.61 16777216 0 0 0 0.00 0
