testid msgsize chunksize datasize time bandwidth numpaths/job maxpath/job minpath/job avgpath/job medpath/job totalhopbytes maxhopbytes minhopbytes avghopbytes medhopbytes totalcopies maxcopies/path mincopies/paths avgcopies/paths medcopies/path totalhops maxhops/path minhop/path avghops/path medhop/path totalcopies/node maxopies/node mincopies/node avgcopies/node medcopies/node maxloadpath minloadpath avgloadpath medloadpath maxloadlink minloadlink avgloadlink medloadlink totalrput maxrputs minrput avgrput medrput
0 8388608 65536 256 4101 62423 126 4 2 3.94 4 796917760 8388608 4194304 6324744.13 8388608 8064 96 32 64.00 64 376 4 2 2.98 2 8089 64 32 32.23 32 1 1 1.00 1 4194304 2097152 2119462.13 2097152 12160 128 32 43.12 32
1 8388608 65536 512 13739 37266 163 7 1 2.55 2 2710319164 58720256 2396744 16627724.93 13981010 33162 768 18 203.45 172 803 8 2 4.93 5 33187 490 18 145.56 128 2 1 1.51 2 12582912 1179648 5084757.49 4194304 41379 746 18 181.49 128
2 8388608 65536 1024 24602 41622 280 6 1 2.19 2 5252666309 67108864 1398101 18759522.53 16777212 63762 896 32 227.72 192 1333 8 1 4.76 5 63787 1131 21 241.62 171 3 1 1.81 2 25165824 1376256 7126795.46 6946816 80171 1643 21 303.68 171
3 8388608 65536 2048 29321 69847 467 6 1 1.82 1 11168032962 75497472 2796202 23914417.48 16777216 137644 1024 21 294.74 215 2365 9 2 5.06 5 137669 1856 21 323.17 234 4 1 2.04 2 29360128 1376256 9635997.27 8388608 170437 2880 21 400.09 234
4 8388608 65536 512 17111 29922 95 3 1 1.48 1 2771036828 58720256 5592404 29168808.72 25165824 34088 768 43 358.82 320 480 8 2 5.05 5 34088 448 42 146.93 128 1 1 1.00 1 8388608 2752512 5772629.33 4194304 42280 576 42 171.87 128
5 8388608 65536 512 9885 51795 147 4 1 2.30 2 1732247420 25165824 6291456 11783996.05 12582912 18216 256 64 123.92 128 483 5 3 3.29 3 18241 160 32 63.56 64 1 1 1.00 1 8388608 2097152 3583177.41 4194304 26408 192 32 88.92 64
6 8388608 65536 1024 21474 47685 252 5 1 1.97 2 5243998316 58720256 2097152 20809517.13 16777216 63630 768 26 252.50 210 1185 8 1 4.70 5 63655 811 25 215.78 171 2 1 1.46 1 16777216 1638400 6465841.56 5636096 80014 1067 25 272.16 171
7 8388608 65536 2048 24298 84286 500 6 1 1.95 2 11407387776 67108864 3355442 22814775.55 19573414 141292 896 25 282.58 256 2624 9 2 5.25 5 141292 1023 25 309.17 277 3 1 1.82 2 25165824 1376256 7899720.33 8388608 174085 1535 25 380.10 277
8 8388608 65536 1024 21527 47568 215 5 1 1.68 2 5473846258 58720256 5592404 25459750.04 20971520 67136 768 43 312.26 256 1090 8 2 5.07 5 67161 704 26 239.86 192 2 1 1.45 1 16777216 1638400 7269012.91 8388608 83545 832 26 277.56 256
9 8388608 65536 1024 18107 56552 278 5 1 2.17 2 5370386523 58720256 3355442 19317937.13 16777216 65556 768 25 235.81 192 1357 8 2 4.88 5 65581 704 25 196.35 171 2 1 1.50 1 16777216 1638400 5933723.58 5570560 81965 832 25 243.22 214
