testid msgsize chunksize datasize time bandwidth numpaths/job maxpath/job minpath/job avgpath/job medpath/job totalhopbytes maxhopbytes minhopbytes avghopbytes medhopbytes totalcopies maxcopies/path mincopies/paths avgcopies/paths medcopies/path totalhops maxhops/path minhop/path avghops/path medhop/path totalcopies/node maxopies/node mincopies/node avgcopies/node medcopies/node maxloadpath minloadpath avgloadpath medloadpath maxloadlink minloadlink avgloadlink medloadlink totalrput maxrputs minrput avgrput medrput
0 8388608 65536 256 3381 75701 32 1 1 1.00 1 536870912 16777216 16777216 16777216.00 16777216 0 0 0 0.00 0 64 2 2 2.00 2 0 0 0 0.00 0 1 1 1.00 1 8388608 8388608 8388608.00 8388608 0 0 0 0.00 0
1 8388608 65536 512 12196 41978 64 1 1 1.00 1 2684354560 67108864 16777216 41943040.00 41943040 0 0 0 0.00 0 320 8 2 5.00 5 0 0 0 0.00 0 2 1 1.82 2 16777216 8388608 15252014.55 16777216 0 0 0 0.00 0
2 8388608 65536 1024 29473 34743 128 1 1 1.00 1 4831838208 67108864 8388608 37748736.00 41943040 0 0 0 0.00 0 576 8 1 4.50 5 0 0 0 0.00 0 4 1 2.67 2 33554432 8388608 22369621.33 16777216 0 0 0 0.00 0
3 8388608 65536 2048 41241 49658 256 1 1 1.00 1 10737418240 75497472 8388608 41943040.00 41943040 0 0 0 0.00 0 1280 9 1 5.00 5 0 0 0 0.00 0 8 1 3.81 2 67108864 8388608 31956601.90 16777216 0 0 0 0.00 0
4 8388608 65536 512 13092 39106 64 1 1 1.00 1 2684354560 67108864 16777216 41943040.00 41943040 0 0 0 0.00 0 320 8 2 5.00 5 0 0 0 0.00 0 2 1 1.25 1 16777216 8388608 10485760.00 8388608 0 0 0 0.00 0
5 8388608 65536 512 3495 146465 64 1 1 1.00 1 1610612736 25165824 25165824 25165824.00 25165824 0 0 0 0.00 0 192 3 3 3.00 3 0 0 0 0.00 0 1 1 1.00 1 8388608 8388608 8388608.00 8388608 0 0 0 0.00 0
6 8388608 65536 1024 17094 59904 128 1 1 1.00 1 4831838208 67108864 8388608 37748736.00 41943040 0 0 0 0.00 0 576 8 1 4.50 5 0 0 0 0.00 0 2 1 1.80 2 16777216 8388608 15099494.40 16777216 0 0 0 0.00 0
7 8388608 65536 2048 34791 58865 256 1 1 1.00 1 10737418240 75497472 8388608 41943040.00 41943040 0 0 0 0.00 0 1280 9 1 5.00 5 0 0 0 0.00 0 4 1 2.76 4 33554432 8388608 23140987.59 33554432 0 0 0 0.00 0
8 8388608 65536 1024 26324 38899 128 1 1 1.00 1 4831838208 67108864 8388608 37748736.00 41943040 0 0 0 0.00 0 576 8 1 4.50 5 0 0 0 0.00 0 3 1 1.50 1 25165824 8388608 12582912.00 8388608 0 0 0 0.00 0
9 8388608 65536 1024 16149 63407 128 1 1 1.00 1 4831838208 67108864 8388608 37748736.00 41943040 0 0 0 0.00 0 576 8 1 4.50 5 0 0 0 0.00 0 2 1 1.20 1 16777216 8388608 10066329.60 8388608 0 0 0 0.00 0
