testid msgsize chunksize datasize time bandwidth numpaths/job maxpath/job minpath/job avgpath/job medpath/job totalhopbytes maxhopbytes minhopbytes avghopbytes medhopbytes totalcopies maxcopies/path mincopies/paths avgcopies/paths medcopies/path totalhops maxhops/path minhop/path avghops/path medhop/path totalcopies/node maxopies/node mincopies/node avgcopies/node medcopies/node maxloadpath minloadpath avgloadpath medloadpath maxloadlink minloadlink avgloadlink medloadlink totalrput maxrputs minrput avgrput medrput
0 8388608 65536 256 4196 61010 179 8 4 5.59 5 1004824200 11188452 114688 5613543.02 5107176 11230 129 3 62.74 57 680 6 2 3.80 4 11255 91 2 46.51 42 4 1 1.37 1 3014656 65536 2025009.55 2621440 15351 215 2 63.17 42
1 8388608 65536 512 11576 44229 334 12 2 5.22 5 2876009301 46684424 11400 8610806.29 6411130 35698 609 3 106.88 80 1812 8 3 5.43 5 35723 409 1 145.22 128 10 1 2.27 2 6160384 65536 3609002.56 4063232 43915 665 1 178.52 132
2 8388608 65536 1024 14043 72918 410 7 1 3.20 3 5613410326 50331648 56742 13691244.70 11413230 69280 640 4 168.98 136 2157 8 3 5.26 5 69305 768 2 244.03 188 9 1 2.27 2 9961472 65536 5909553.58 5701632 85689 1250 2 301.72 188
3 8388608 65536 2048 21907 93486 553 5 1 2.16 2 11359260395 67108864 40960 20541158.04 18432000 140584 896 3 254.22 220 2989 9 3 5.41 5 140609 1288 1 337.19 264 10 1 2.26 2 17039360 65536 8574186.17 8192000 173377 2312 1 415.77 264
4 8388608 65536 512 10697 47863 394 10 2 6.16 6 2964648058 30201936 12285 7524487.46 5574378 37022 380 3 93.96 72 2181 8 3 5.54 6 37047 335 2 128.19 116 8 1 2.33 2 5439488 65536 3159002.88 3407872 45239 463 5 154.40 136
5 8388608 65536 512 5929 86355 458 11 4 7.16 7 2520715434 15886690 46540 5503745.49 4233850 30256 192 2 66.06 52 2172 5 3 4.74 5 30281 157 1 72.44 68 7 1 1.78 1 3473408 65536 2067045.22 2359296 38473 243 1 92.04 84
6 8388608 65536 1024 11736 87252 589 8 2 4.60 4 5663830777 50304968 26672 9616011.51 7134980 70034 665 3 118.90 90 3120 8 3 5.30 5 70059 568 13 198.47 165 10 1 2.37 2 7143424 65536 4310114.19 4456448 86443 824 13 244.88 166
7 8388608 65536 2048 17920 114285 796 8 1 3.11 3 11957649787 67108864 68520 15022173.10 12620025 149704 896 3 188.07 156 4420 9 3 5.55 5 149729 1061 6 318.57 270 9 1 2.48 2 11993088 65536 6706946.15 6291456 182497 1573 6 388.29 272
8 8388608 65536 1024 22240 46043 480 7 1 3.75 4 5809586361 50331648 22200 12103304.92 9391688 72264 640 3 150.55 116 2596 8 2 5.41 5 72289 722 3 238.58 209 14 1 2.51 2 9633792 65536 5607756.11 6160384 88673 850 3 283.30 263
9 8388608 65536 1024 14540 70426 633 8 2 4.95 5 5809808689 38591988 15700 9178212.78 6846560 72254 490 3 114.15 85 3451 8 3 5.45 5 72279 558 30 199.67 165 9 1 2.54 2 6750208 65536 4277599.39 5177344 88663 593 30 244.25 226
10 8388608 65536 1024 7987 128208 815 10 3 6.37 6 4865525402 20439040 4097 5969969.82 5151975 58016 240 4 71.19 64 3829 5 1 4.70 5 58041 278 47 113.14 105 7 1 1.95 2 4521984 65536 2486424.48 2359296 74425 406 47 145.08 115
11 8388608 65536 2048 16848 121557 1093 9 1 4.27 4 11887694978 52877013 20560 10876207.67 8396826 148634 684 3 135.99 108 6116 9 3 5.60 6 148634 836 12 290.30 247 11 1 2.52 2 8781824 65536 4906463.67 4587520 181427 1092 12 353.66 255
12 8388608 65536 2048 25384 80680 542 5 1 2.12 2 11736319756 67108864 114576 21653726.49 18874368 146326 896 5 269.97 234 2982 9 2 5.50 5 146326 1317 4 379.08 316 8 1 2.23 2 17039360 65536 8765574.60 8388608 179094 1445 4 366.25 287
13 8388608 65536 2048 22248 92053 831 6 1 3.25 3 12019348586 64387608 57650 14463716.71 11509815 150640 854 3 181.28 144 4642 9 3 5.59 6 150640 995 3 341.59 298 9 1 2.64 2 12124160 65536 6825568.82 6619136 183408 1085 3 388.58 362
14 8388608 65536 2048 21085 97130 1036 8 1 4.05 4 11992544153 67572531 21280 11575814.82 8937630 150216 912 3 145.00 112 5827 9 2 5.62 6 150216 770 21 300.43 280 8 1 2.47 2 9043968 65536 5085682.54 4915200 183009 770 21 360.25 347
15 8388608 65536 2048 8226 248966 256 1 1 1.00 1 0 16777216 16777216 0.00 16777216 32768 128 128 128.00 128 512 2 2 2.00 2 32768 128 128 128.00 128 1 1 1.00 1 8388608 8388608 8388608.00 8388608 65536 256 128 166.34 128
16 8388608 65536 256 6610 38729 226 12 4 7.06 7 1368706426 19321314 23585 6056223.12 5267445 16774 240 4 74.22 68 1135 6 3 5.02 5 16774 237 2 77.66 50 10 1 1.94 2 3604480 65536 2342014.25 2949120 20870 344 2 96.62 50
17 8388608 65536 256 3093 82767 327 14 6 10.22 10 1090004739 11217672 7300 3333347.83 2530272 12586 140 3 38.49 32 1357 6 1 4.15 4 12611 131 7 48.50 48 6 1 1.82 2 2097152 65536 1469451.01 1769472 16707 259 7 64.26 49
18 8388608 65536 256 4461 57386 247 10 4 7.72 8 1183001973 11983725 46800 4789481.67 4447084 13938 144 2 56.43 54 1090 6 2 4.41 4 13963 162 3 62.61 60 6 1 1.65 1 2686976 65536 1793438.88 2228224 18059 290 3 80.98 66
