testid msgsize chunksize datasize time bandwidth numpaths/job maxpath/job minpath/job avgpath/job medpath/job totalhopbytes maxhopbytes minhopbytes avghopbytes medhopbytes totalcopies maxcopies/path mincopies/paths avgcopies/paths medcopies/path totalhops maxhops/path minhop/path avghops/path medhop/path totalcopies/node maxopies/node mincopies/node avgcopies/node medcopies/node maxloadpath minloadpath avgloadpath medloadpath maxloadlink minloadlink avgloadlink medloadlink totalrput maxrputs minrput avgrput medrput
0 8388608 65536 4096 3682 1112438 4038 11 5 7.89 8 17703387006 12584448 6138 4384196.88 3862056 204908 155 1 50.74 45 16872 6 2 4.18 4 204933 125 1 38.86 31 6 1 1.46 1 2359296 65536 1534264.02 1966080 270469 196 1 51.27 31
1 8388608 65536 8192 86883 94287 1045 3 1 1.02 1 94489280410 167772160 11824211 90420364.03 92274688 1310720 2432 128 1254.28 1280 11492 20 2 11.00 11 1310745 3456 32 596.06 384 11 1 2.21 1 58720256 1703936 18185003.95 8388608 1441817 3712 32 653.29 384
2 8388608 65536 16384 114857 142646 2511 4 1 1.23 1 180464119453 159383552 285975 71869422.32 75497472 2491520 2304 8 992.24 1024 26782 20 1 10.67 11 2491545 4376 1 907.01 568 15 1 3.15 2 65208320 65536 21253577.19 14942208 2753664 4590 1 1002.79 597
3 8388608 65536 32768 187141 175097 4443 3 1 1.08 1 378311559081 176160768 404964 85147773.82 83886080 5248288 2560 6 1181.25 1152 48993 21 1 11.03 11 5248288 7361 2 936.86 512 22 1 3.22 2 119275520 65536 24903662.74 16777216 5772576 7564 2 1030.45 512
4 8388608 65536 8192 37672 217455 3708 10 1 3.62 3 94639683279 142484123 71880 25523107.68 19623730 1313024 2032 4 354.11 273 42929 20 2 11.58 12 1313049 1223 1 372.60 322 18 1 3.50 3 15269888 65536 7726367.50 7274496 1444096 1351 1 403.27 363
5 8388608 65536 8192 7307 1121116 7135 13 3 6.97 7 40157686972 16271895 4764 5628267.27 4607375 481750 200 2 67.52 56 33731 5 3 4.73 5 481775 195 1 73.00 70 6 1 1.76 1 3538944 65536 2095804.55 2293760 612847 285 1 92.86 82
6 8388608 65536 16384 52413 312594 4195 6 1 2.05 2 180891589251 167772160 53772 43120760.25 37224447 2498060 2432 3 595.49 510 46830 20 1 11.16 11 2498085 2188 1 673.88 587 20 1 3.37 2 28114944 65536 13022297.12 9895936 2760229 2444 1 738.23 662
20 8388608 65536 8192 42516 192680 2453 9 1 2.40 2 85385498397 155052464 68292 34808601.06 28273131 1171818 2232 5 477.71 384 25680 19 1 10.47 10 1171843 1643 1 547.08 486 17 1 3.40 2 23855104 65536 11322927.87 8454144 1302890 1805 1 606.28 533
27 8388608 65536 32768 57539 569491 6939 5 1 1.69 2 351670682625 159383552 109510 50680311.66 45929268 4841828 2304 4 697.77 630 72652 20 1 10.47 10 4841828 3390 3 1080.52 896 18 1 4.24 3 45285376 65536 20508151.28 16777216 5366116 4286 3 1197.53 896
28 8388608 65536 8192 43385 188821 1920 7 1 1.88 2 84183748655 150994944 108760 43845702.42 39155900 1153482 2176 7 600.77 512 19918 19 1 10.37 10 1153507 1953 1 605.20 548 18 1 3.05 2 28311552 65536 12909757.85 9764864 1284554 2081 1 665.57 604
29 8388608 65536 8192 44531 183961 2121 6 1 2.07 2 82302724929 150994944 99022 38803736.41 33554432 1124774 2176 6 530.30 448 21633 18 1 10.20 10 1124799 1965 2 707.42 640 18 1 3.77 3 29425664 65536 14361040.56 11665408 1255846 2093 2 775.21 704
30 8388608 65536 8192 69330 118159 1513 5 1 1.48 1 78836848394 150994944 171696 52106310.90 50331648 1071884 2176 6 708.45 640 14587 18 1 9.64 10 1071909 3172 14 942.75 590 19 1 3.85 2 50659328 65536 20817777.77 16777216 1202981 3300 14 997.50 640
31 8388608 65536 8192 27748 295228 2880 6 1 2.81 3 55595848920 67108864 49104 19304114.21 16899974 717556 896 5 249.15 220 19173 8 5 6.66 6 717581 617 41 345.16 341 13 1 3.18 3 17104896 65536 9246165.35 8060928 848628 740 41 408.39 406
41 8388608 65536 16384 74047 221264 3800 5 1 1.86 2 167316837215 159383552 91180 44030746.64 39389985 2290916 2304 3 602.87 520 38065 19 1 10.02 10 2290941 3512 1 1318.15 1198 22 1 5.32 4 47054848 65536 23391212.10 18350080 2553060 3640 128 1244.18 896
42 8388608 65536 16384 78673 208254 3278 5 1 1.60 1 167060664308 156557587 178476 50964205.10 48908835 2287040 2250 5 697.69 640 32765 19 1 10.00 10 2287065 4248 4 1191.18 512 23 1 4.89 3 61276160 65536 24949719.63 16777216 2549209 4376 21 1189.55 561
43 8388608 65536 16384 51007 321210 3964 7 1 1.94 2 185052973613 164696320 139570 46683393.95 41943040 2561544 2375 8 646.20 570 45355 20 1 11.44 11 2561569 2145 1 701.42 604 18 1 3.12 2 29163520 65536 12716686.14 8454144 2823688 2145 3 695.49 586
61 8388608 65536 32768 16095 2035911 12627 7 2 3.08 3 107554452360 35969604 14332 8517815.19 7202520 1120592 450 1 88.75 76 44569 6 2 3.53 3 1120592 445 1 138.05 127 7 1 1.72 1 7667712 65536 4165173.51 3866624 1644880 573 1 202.65 217
