O  0 OPTIQ_Alltoallv  msg = 8388608 chunk = 32768  1024 4301.0000 238084.1665  1572 17 4 12.28 12  3920344704 8388608 986894 2493857.95 2581108  86590 192 15 55.08 57  5776 4 2 3.67 4  86590 256 15 58.59 42  4 1 1.77 1  5701632 491520 1195696.41 753664  119383 360 15 80.28 43  
O  1 OPTIQ_Alltoallv  msg = 8388608 chunk = 32768  2048 37524.0000 54578.4032   865 10 1 3.38 3  17248314466 117440512 1677720 19940247.94 13421768  460834 3328 26 532.76 357  6111 14 2 7.06 7  460859 2432 25 488.72 394  4 1 2.36 2  29360128 819200 6667217.69 5570560  526370 2944 25 558.78 406  
O  2 OPTIQ_Alltoallv  msg = 8388608 chunk = 32768  4096 103447.0000 39595.1550  1859 20 1 3.63 3  24491014841 117440512 645277 13174295.23 9786707  878468 3328 18 472.55 255  12477 14 1 6.71 6  878493 4905 22 875.87 576  8 1 3.75 3  59342848 393216 9943073.86 7274496  1009565 5929 22 1005.54 578  
O  3 OPTIQ_Alltoallv  msg = 8388608 chunk = 32768  8192 154629.0000 52978.4193  3770 18 1 3.68 2  35292394111 125829120 1048576 9361377.75 9437184  1863442 3584 16 494.28 256  28037 15 2 7.44 7  1863442 6442 15 986.99 637  11 1 4.15 3  92274688 458752 10303432.26 7274496  2125586 8490 15 1125.84 637  
O  4 OPTIQ_Alltoallv  msg = 8388608 chunk = 32768  2048 22172.0000 92368.7534  1008 12 1 3.94 4  17350677395 109051904 1398100 17212973.61 12582909  463948 3072 22 460.27 320  7317 14 2 7.26 7  463973 1692 21 477.34 404  4 1 2.40 2  25165824 688128 5699780.46 4456448  529484 1856 21 538.09 463  
O  5 OPTIQ_Alltoallv  msg = 8388608 chunk = 32768  2048 4134.0000 495403.9671  2331 13 5 9.11 9  7884069744 8388605 1935831 3382269.30 3145728  174760 204 40 74.97 64  8615 5 3 3.70 3  174785 251 20 105.55 102  4 1 2.27 2  5177344 622592 2078125.98 1835008  240296 434 20 145.19 124  
O  6 OPTIQ_Alltoallv  msg = 8388608 chunk = 32768  4096 37839.0000 108248.1038  1423 10 1 2.78 2  28671960342 117440512 1048576 20148953.16 14680064  874990 3328 25 614.89 384  9690 14 1 6.81 6  875015 2773 32 779.18 678  4 1 2.35 2  29360128 819200 7997729.16 6979584  1006087 3285 32 895.89 768  
O  7 OPTIQ_Alltoallv  msg = 8388608 chunk = 32768  8192 72508.0000 112980.6366  3549 12 1 3.47 3  39835932490 117440512 1677720 11224551.28 12582912  1871048 3328 26 527.20 344  27093 15 2 7.63 7  1871048 4247 21 991.02 815  7 1 3.55 3  44400640 688128 9149271.66 7208960  2133192 4247 21 1128.67 899  
O  8 OPTIQ_Alltoallv  msg = 8388608 chunk = 32768  4096 61278.0000 66842.9126  1542 10 1 3.01 3  29142739664 109051904 2396744 18899312.36 15099489  889356 3072 37 576.75 408  11403 14 2 7.39 7  889356 3298 26 831.95 729  5 1 2.91 3  37748736 819200 8534299.31 7274496  1020453 3554 26 919.33 819  
O  9 OPTIQ_Alltoallv  msg = 8388608 chunk = 32768  4096 67065.0000 61075.0764  1497 9 1 2.92 3  20166963165 117440512 2396744 13471585.28 13981010  877566 3328 37 586.22 344  10263 14 2 6.86 6  877591 3481 29 767.80 647  4 1 2.40 2  33554432 917504 7742105.88 6291456  1008663 3737 29 865.06 752  
