O  0 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  512 7669.0000 66762.2897   252 5 3 3.00 4   752 4 2 2.98 2  4783 50 1 23.56 30  7 1 1.50 1  4718592 131072 2316390.20 3801088  8879 100 1 37.94 33  
O  1 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  1024 39567.0000 25880.1527   219 3 1 1.00 2  1328 10 2 6.06 6  40985 416 9 111.37 96  4 1 1.53 1  12582912 1179648 7430739.27 8388608  49152 544 9 133.57 96  
O  2 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  2048 82963.0000 24685.7033   260 2 1 1.00 1  1437 10 1 5.53 5  73753 1280 32 231.93 128  7 1 1.87 1  41943040 4194304 15359115.82 8388608  90112 1536 32 284.26 128  
O  3 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  4096 136240.0000 30064.5919   550 2 1 1.00 1  3300 11 1 6.00 6  163840 1632 17 249.76 128  9 1 2.00 1  54525952 2228224 15599154.83 8388608  196608 2144 17 299.71 128  
O  4 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  1024 34518.0000 29665.6817   335 6 1 2.00 3  2037 10 2 6.08 6  40985 279 1 103.50 95  6 1 1.83 1  8912896 131072 5777982.91 6291456  49152 334 1 118.44 122  
O  5 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  1024 6342.0000 161463.2608   256 2 2 2.00 2   768 3 3 3.00 3  16409 64 32 39.16 32  1 1 1.00 1  4194304 4194304 4194304.00 4194304  24601 96 32 53.13 32  
O  6 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  2048 36490.0000 56124.9657   633 6 1 2.00 2  3578 10 2 5.65 6  74987 465 5 155.57 138  8 1 2.12 2  12451840 131072 7114024.31 6946816  91371 593 5 189.17 156  
O  7 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  4096 69264.0000 59136.0591   650 4 1 1.00 1  3886 11 1 5.98 6  164454 1064 2 225.59 192  8 1 1.85 1  25690112 131072 12303799.14 8388608  197247 1216 2 264.76 192  
O  8 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  2048 38778.0000 52813.4509   586 5 1 2.00 2  3367 10 2 5.75 6  76757 489 4 167.23 159  8 1 2.31 2  14811136 131072 8370987.90 8388608  93141 553 4 187.78 176  
O  9 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  2048 37945.0000 53972.8554   692 5 1 2.00 3  3971 10 1 5.74 6  75827 383 6 152.88 147  9 1 2.21 2  11403264 131072 6731478.21 7208960  92211 447 6 179.75 177  
O  10 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  2048 8528.0000 240150.0938   727 6 2 2.00 3  1715 3 1 2.36 3  21023 36 5 23.49 33  4 1 1.17 1  4980736 262144 3355981.85 4325376  37407 100 5 40.66 34  
O  11 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  4096 49607.0000 82568.9923   760 4 1 1.00 1  4633 11 1 6.10 6  163996 707 2 190.47 145  8 1 1.74 1  17301504 131072 9673762.57 8388608  196789 722 2 223.62 192  
O  12 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  4096 47322.0000 86555.9359   937 5 1 1.00 2  5782 11 2 6.17 6  167394 766 2 215.44 178  9 1 2.31 2  20840448 131072 10485864.77 8388608  200187 766 2 204.27 156  
O  13 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  4096 48759.0000 84005.0042  1062 5 1 2.00 2  6479 11 1 6.10 6  165734 715 2 209.79 191  8 1 2.33 2  17301504 131072 9375875.37 8388608  198527 715 4 216.97 192  
O  14 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  4096 44558.0000 91925.1313   766 4 1 1.00 1  4738 11 1 6.19 6  164008 523 6 196.18 189  9 1 1.73 1  17301504 131072 9413074.41 8388608  196801 575 6 218.91 192  
O  15 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  4096 8843.0000 463191.2247   512 1 1 1.00 1  1024 2 2 2.00 2  32768 64 64 64.00 64  1 1 1.00 1  8388608 8388608 8388608.00 8388608  65536 128 64 87.38 64  
O  16 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  512 21418.0000 23905.1265   227 6 1 3.00 4  1217 6 5 5.36 5  17945 205 48 139.11 140  7 1 3.16 3  9830400 131072 7495275.72 8912896  22016 269 97 172.00 170  
O  17 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  512 13735.0000 37277.0295   169 5 2 2.00 2   472 4 1 2.79 2  6772 69 4 32.71 31  4 1 1.22 1  4587520 524288 3680853.99 4063232  10893 132 4 48.85 33  
O  18 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  512 12987.0000 39424.0394   227 7 2 3.00 3   741 5 2 3.26 3  9105 95 6 43.56 39  4 1 1.49 1  4849664 262144 3481864.26 4325376  13176 159 6 63.35 40  
O  19 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  1024 34061.0000 30063.7092   260 5 1 2.00 2  1340 9 1 5.15 5  32391 349 6 128.03 109  6 1 1.79 1  12976128 131072 7106976.17 6946816  40558 457 6 160.94 133  
O  20 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  1024 33833.0000 30266.3080   248 4 1 1.00 2  1227 9 1 4.95 5  31995 407 7 126.96 113  6 1 1.74 1  12976128 393216 7466827.89 8388608  40162 535 7 158.12 128  
O  21 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  1024 31535.0000 32471.8567   263 5 1 2.00 2  1258 9 1 4.78 5  30175 407 2 126.79 98  7 1 1.90 1  13369344 131072 7591484.33 7733248  38342 535 3 161.10 115  
O  22 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  2048 50196.0000 40800.0638   546 6 1 2.00 2  2722 9 2 4.99 5  64267 587 2 192.99 179  7 1 2.30 2  16252928 131072 8917984.03 8388608  80651 843 2 242.20 181  
O  23 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  2048 48355.0000 42353.4278   467 4 1 1.00 2  2302 8 1 4.93 5  63471 621 1 202.78 186  8 1 2.17 2  17170432 131072 9852615.59 8388608  79830 877 1 255.87 192  
O  24 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  2048 50070.0000 40902.7362   525 4 1 2.00 2  2562 8 2 4.88 5  62851 635 1 195.19 174  9 1 2.33 2  17039360 131072 9464186.98 8388608  79235 891 1 246.07 185  
O  25 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  4096 59307.0000 69064.3600   829 4 1 1.00 2  4436 10 1 5.35 5  141628 889 2 244.61 192  9 1 2.18 2  23986176 131072 11249228.60 8388608  174421 1401 2 300.73 192  
O  26 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  4096 61587.0000 66507.5422   887 4 1 1.00 2  4766 10 2 5.37 5  142120 844 1 242.53 192  9 1 2.30 2  22413312 131072 11052516.84 8388608  174913 1356 1 297.98 192  
O  27 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  4096 73489.0000 55736.2326   780 5 1 1.00 1  4078 10 1 5.23 5  138906 957 3 256.28 192  9 1 2.21 2  25690112 131072 12222517.40 8388608  171699 1469 3 316.20 192  
O  28 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  1024 32750.0000 31267.1756   363 6 1 2.00 3  1846 9 1 5.09 5  32579 305 5 120.66 119  8 1 2.27 2  9830400 131072 6561007.02 7864320  40771 369 5 147.72 135  
O  29 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  1024 31255.0000 32762.7580   349 5 1 2.00 3  1695 8 1 4.86 5  30591 350 9 140.33 134  7 1 2.28 2  11010048 131072 6818910.84 7733248  38758 414 13 176.17 182  
O  30 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  1024 36618.0000 27964.3891   257 4 1 2.00 2  1143 8 1 4.45 5  27349 466 9 168.82 140  7 1 2.19 2  14811136 131072 8917917.92 8388608  35541 530 9 210.30 195  
O  31 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  1024 17329.0000 59091.6960   339 5 2 2.00 3  1068 5 2 3.15 3  17105 137 6 54.47 51  4 1 1.53 1  7208960 655360 4752441.30 5242880  25297 195 6 80.56 75  
O  32 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  1024 19256.0000 53178.2302   354 5 2 2.00 3  1261 5 3 3.56 4  20921 165 7 79.55 75  6 1 1.71 2  7864320 524288 5173164.64 5898240  29088 229 7 111.02 111  
