id    ampl       solv    total
0   16.6801   2.07158   18.75168
1   40.5863   2.53182   43.11812
2   91.76   10.6957   102.4557
3   224.005   84.0045   308.0095
4   35.9313   4.5965   40.5278
5   34.714   37.3387   72.0527
6   91.5002   32.1433   123.6435
7   221.217   434.923   656.140
8   89.4471   74.5685   164.0156
9   89.0725   16.7506   105.8231
10   80.6132   158.635   239.2482
11   226.772   597.316   824.088
12   209.096   1790.36   1999.456
13   233.649   242.56   476.209
14   231.446   345.731   577.177
15   194.085   2.85969   196.94469
16   17.2545   4.15678   21.41128
17   18.5548   21.8972   40.4520
18   17.2871   5.75305   23.04015
19   36.1383   5.21805   41.35635
20   36.0848   4.23631   40.32111
21   36.1948   3.06547   39.26027
22   86.0153   127.263   213.2783
23   85.4679   65.9927   151.4606
24   83.2157   17.4618   100.6775
25   199.456   372.296   571.752
26   208.679   107.302   315.981
27   198.739   530.316   729.055
28   36.0667   4.74957   40.81627
29   36.1453   1.2528   37.3981
30   36.759   1.11452   37.87352
31   94.6387   1118.9   1213.5387
32   160.246   757.356   917.602
33   161.655   289.127   450.782
34   391.939   40.9326   432.8716
35   405.317   57.9976   463.3146
36   407.736   34.8091   442.5451
37   861.948   3014.46   3876.408
38   786.206   1669.66   2455.866
39   736.861   454.16   1191.021
40   335.664   227.138   562.802
41   313.976   124.373   438.349
42   304.23   147.957   452.187
43   332.457   78.8305   411.2875
44   322.67   31.0673   353.7373
45   298.205   24.3621   322.5671
46   77.5557   1473.1   1550.6557
47   79.5867   456.739   536.3257
48   78.427   413.391   491.818
49   223.738   299.386   523.124
50   231.664   207.007   438.671
51   237.841   86.6882   324.5292
52   222.195   327.178   549.373
53   221.562   578.518   800.080
54   208.454   478.953   687.407
55   223.788   134.681   358.469
56   223.382   254.897   478.279
57   211.147   202.256   413.403
58   212.613   239.367   451.980
59   209.922   103.081   313.003
60   206.888   44.8048   251.6928
61   628.74   105.991   734.731
62   863.354   745.985   1609.339
63   912.547   895.704   1808.251
64   178.494   19.4045   197.8985
65   179.669   22.8549   202.5239
66   171.627   19.9418   191.5688
67   171.488   83.0933   254.5813
68   175.897   81.2599   257.1569
69   171.037   66.3368   237.3738
70   175.18   60.6377   235.8177
71   170.687   24.7217   195.4087
72   151.271   14.5933   165.8643
73   311.767   142.41   454.177
74   304.911   157.584   462.495
75   324.718   163.064   487.782
76   323.696   334.643   658.339
77   325.77   353.002   678.772
78   323.134   285.757   608.891
79   309.731   69.4737   379.2047
80   312.752   110.65   423.402
81   306.737   71.1886   377.9256
82   662.082   1253.88   1915.962
83   709.473   1112.32   1821.793
84   434.416   579.515   1013.931
85   424.983   889.178   1314.161
86   218.446   492.608   711.054
87   217.368   939.675   1157.043
88   915.046   850.131   1765.177
89   1168.46   798.96   1967.42
90   1009.53   503.573   1513.103
