 0 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  256 4368.0000 58608.0586  179 680 680 496 6 2 3.80 4 4 1 1.37 1  91 2    46.51 42  215 2    63.33 42  3014656 131072 2419957.42 2752512 
 1 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  512 11843.0000 43232.2891  334 1812 1812 797 8 3 5.43 5 10 1 2.27 2  409 1   145.22 128  665 1   178.52 132  6160384 65536 4364965.09 5701632 
 2 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  1024 14143.0000 72403.3091  410 2157 2157 950 8 3 5.26 5 9 1 2.27 2  768 2   244.03 188  1250 2   301.72 188  9961472 131072 6147184.17 6291456 
 3 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  2048 21131.0000 96919.2182  553 2989 2989 1325 9 3 5.41 5 10 1 2.26 2  1288 1   337.21 264  2312 1   415.77 264  16973824 65536 8048797.54 8192000 
 4 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  512 10777.0000 47508.5831  394 2181 2181 938 8 3 5.54 6 8 1 2.33 2  335 2   128.19 116  463 5   154.40 136  5439488 131072 4109241.86 4915200 
 5 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  512 5968.0000 85790.8847  458 2172 2172 1219 5 3 4.74 5 7 1 1.78 1  157 1    72.44 68  243 1    92.04 84  3473408 65536 2732552.59 3080192 
 6 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  1024 12249.0000 83598.6611  589 3120 3120 1314 8 3 5.30 5 10 1 2.37 2  568 13   198.47 165  824 13   244.88 166  7143424 65536 5249024.00 6750208 
 7 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  2048 19053.0000 107489.6342  796 4420 4420 1783 9 3 5.55 5 9 1 2.48 2  1061 6   318.65 270  1573 6   388.29 272  11927552 65536 7613075.38 8388608 
 8 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  1024 22507.0000 45496.9565  480 2596 2596 1036 8 2 5.41 5 14 1 2.51 2  722 3   238.58 209  850 3   283.30 263  9633792 65536 7450939.08 8978432 
 9 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  1024 15192.0000 67403.8968  633 3451 3451 1358 8 3 5.45 5 9 1 2.54 2  558 30   199.67 165  593 30   244.25 226  6750208 65536 5840488.66 6356992 
 10 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  1024 8013.0000 127792.3375  815 3829 3829 1963 5 1 4.70 5 7 1 1.95 2  278 47   113.14 105  406 47   145.08 115  4521984 65536 3711488.00 4128768 
 11 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  2048 17226.0000 118890.0499  1093 6116 6116 2425 9 3 5.60 6 11 1 2.52 2  836 12   290.28 247  1092 12   353.66 255  8781824 65536 6229248.00 8257536 
